Registered S3 methods overwritten by 'RcppGSL':
  method               from     
  predict.fastLm       RcppEigen
  print.fastLm         RcppEigen
  summary.fastLm       RcppEigen
  print.summary.fastLm RcppEigen
Loading required package: future
[2026-07-22 13:58:19] EXPERIMENT START | scenarios=4 | q-levels=6 | repliche/scenario/q=500 | total jobs=12000
[2026-07-22 13:58:20] START  scenario=unif_big | jobs=3000 (6 q x 500 repliche) | M=1500 | n_max=10000
[2026-07-22 14:06:52] PROGRESS scenario=zipf_heavy | 2000/3000 (66.7%) | q=0.0001 rep=334 | elapsed=00:03:15 | ETA=00:01:38 | rate=10.244 job/s
[2026-07-22 14:06:57] PROGRESS scenario=zipf_heavy | 2050/3000 (68.3%) | q=0.001 rep=342 | elapsed=00:03:20 | ETA=00:01:33 | rate=10.248 job/s
[2026-07-22 14:07:02] PROGRESS scenario=zipf_heavy | 2100/3000 (70.0%) | q=0.005 rep=350 | elapsed=00:03:25 | ETA=00:01:28 | rate=10.243 job/s
[2026-07-22 14:07:07] PROGRESS scenario=zipf_heavy | 2150/3000 (71.7%) | q=0.0001 rep=359 | elapsed=00:03:30 | ETA=00:01:23 | rate=10.244 job/s
[2026-07-22 14:07:11] PROGRESS scenario=zipf_heavy | 2200/3000 (73.3%) | q=0.001 rep=367 | elapsed=00:03:35 | ETA=00:01:18 | rate=10.246 job/s
[2026-07-22 14:07:16] PROGRESS scenario=zipf_heavy | 2250/3000 (75.0%) | q=0.005 rep=375 | elapsed=00:03:40 | ETA=00:01:13 | rate=10.246 job/s
[2026-07-22 14:07:21] PROGRESS scenario=zipf_heavy | 2300/3000 (76.7%) | q=0.0001 rep=384 | elapsed=00:03:44 | ETA=00:01:08 | rate=10.248 job/s
[2026-07-22 14:07:26] PROGRESS scenario=zipf_heavy | 2350/3000 (78.3%) | q=0.001 rep=392 | elapsed=00:03:49 | ETA=00:01:03 | rate=10.244 job/s
[2026-07-22 14:07:31] PROGRESS scenario=zipf_heavy | 2400/3000 (80.0%) | q=0.005 rep=400 | elapsed=00:03:54 | ETA=00:00:59 | rate=10.246 job/s
[2026-07-22 14:07:36] PROGRESS scenario=zipf_heavy | 2450/3000 (81.7%) | q=0.0001 rep=409 | elapsed=00:03:59 | ETA=00:00:54 | rate=10.248 job/s
[2026-07-22 14:07:41] PROGRESS scenario=zipf_heavy | 2500/3000 (83.3%) | q=0.001 rep=417 | elapsed=00:04:04 | ETA=00:00:49 | rate=10.246 job/s
[2026-07-22 14:07:46] PROGRESS scenario=zipf_heavy | 2550/3000 (85.0%) | q=0.005 rep=425 | elapsed=00:04:09 | ETA=00:00:44 | rate=10.241 job/s
[2026-07-22 14:07:50] PROGRESS scenario=zipf_heavy | 2600/3000 (86.7%) | q=0.0001 rep=434 | elapsed=00:04:14 | ETA=00:00:39 | rate=10.244 job/s
[2026-07-22 14:07:56] PROGRESS scenario=zipf_heavy | 2650/3000 (88.3%) | q=0.001 rep=442 | elapsed=00:04:19 | ETA=00:00:34 | rate=10.212 job/s
[2026-07-22 14:08:05] PROGRESS scenario=zipf_heavy | 2700/3000 (90.0%) | q=0.005 rep=450 | elapsed=00:04:28 | ETA=00:00:30 | rate=10.075 job/s
[2026-07-22 14:08:13] PROGRESS scenario=zipf_heavy | 2750/3000 (91.7%) | q=0.0001 rep=459 | elapsed=00:04:37 | ETA=00:00:25 | rate=9.945 job/s
[2026-07-22 14:08:22] PROGRESS scenario=zipf_heavy | 2800/3000 (93.3%) | q=0.001 rep=467 | elapsed=00:04:45 | ETA=00:00:20 | rate=9.824 job/s
[2026-07-22 14:08:30] PROGRESS scenario=zipf_heavy | 2850/3000 (95.0%) | q=0.005 rep=475 | elapsed=00:04:54 | ETA=00:00:15 | rate=9.708 job/s
[2026-07-22 14:08:39] PROGRESS scenario=zipf_heavy | 2900/3000 (96.7%) | q=0.0001 rep=484 | elapsed=00:05:02 | ETA=00:00:10 | rate=9.599 job/s
[2026-07-22 14:08:46] PROGRESS scenario=zipf_heavy | 2950/3000 (98.3%) | q=0.001 rep=492 | elapsed=00:05:09 | ETA=00:00:05 | rate=9.534 job/s
[2026-07-22 14:08:51] PROGRESS scenario=zipf_heavy | 3000/3000 (100.0%) | q=0.005 rep=500 | elapsed=00:05:15 | ETA=00:00:00 | rate=9.533 job/s
[2026-07-22 14:08:51] DONE   scenario=zipf_heavy | jobs=3000 | total elapsed=00:05:15
[2026-07-22 14:09:00] START  scenario=unif_small | jobs=3000 (6 q x 500 repliche) | M=1500 | n_max=10000
[2026-07-22 14:09:04] PROGRESS scenario=unif_small | 50/3000 (1.7%) | q=0.0001 rep=9 | elapsed=00:00:04 | ETA=00:04:00 | rate=12.297 job/s
[2026-07-22 14:09:08] PROGRESS scenario=unif_small | 100/3000 (3.3%) | q=0.001 rep=17 | elapsed=00:00:08 | ETA=00:03:52 | rate=12.477 job/s
[2026-07-22 14:09:12] PROGRESS scenario=unif_small | 150/3000 (5.0%) | q=0.005 rep=25 | elapsed=00:00:12 | ETA=00:03:48 | rate=12.484 job/s
[2026-07-22 14:09:16] PROGRESS scenario=unif_small | 200/3000 (6.7%) | q=0.0001 rep=34 | elapsed=00:00:16 | ETA=00:03:43 | rate=12.544 job/s
[2026-07-22 14:09:19] PROGRESS scenario=unif_small | 250/3000 (8.3%) | q=0.001 rep=42 | elapsed=00:00:20 | ETA=00:03:39 | rate=12.578 job/s
[2026-07-22 14:09:23] PROGRESS scenario=unif_small | 300/3000 (10.0%) | q=0.005 rep=50 | elapsed=00:00:24 | ETA=00:03:35 | rate=12.549 job/s
[2026-07-22 14:09:28] PROGRESS scenario=unif_small | 350/3000 (11.7%) | q=0.0001 rep=59 | elapsed=00:00:28 | ETA=00:03:32 | rate=12.525 job/s
[2026-07-22 14:09:31] PROGRESS scenario=unif_small | 400/3000 (13.3%) | q=0.001 rep=67 | elapsed=00:00:32 | ETA=00:03:27 | rate=12.546 job/s
[2026-07-22 14:09:35] PROGRESS scenario=unif_small | 450/3000 (15.0%) | q=0.005 rep=75 | elapsed=00:00:36 | ETA=00:03:24 | rate=12.530 job/s
[2026-07-22 14:09:39] PROGRESS scenario=unif_small | 500/3000 (16.7%) | q=0.0001 rep=84 | elapsed=00:00:40 | ETA=00:03:19 | rate=12.545 job/s
[2026-07-22 14:09:43] PROGRESS scenario=unif_small | 550/3000 (18.3%) | q=0.001 rep=92 | elapsed=00:00:44 | ETA=00:03:15 | rate=12.550 job/s
[2026-07-22 14:09:48] PROGRESS scenario=unif_small | 600/3000 (20.0%) | q=0.005 rep=100 | elapsed=00:00:48 | ETA=00:03:12 | rate=12.500 job/s
[2026-07-22 14:09:52] PROGRESS scenario=unif_small | 650/3000 (21.7%) | q=0.0001 rep=109 | elapsed=00:00:52 | ETA=00:03:08 | rate=12.515 job/s
[2026-07-22 14:09:56] PROGRESS scenario=unif_small | 700/3000 (23.3%) | q=0.001 rep=117 | elapsed=00:00:56 | ETA=00:03:04 | rate=12.512 job/s
[2026-07-22 14:10:00] PROGRESS scenario=unif_small | 750/3000 (25.0%) | q=0.005 rep=125 | elapsed=00:01:00 | ETA=00:03:00 | rate=12.509 job/s
[2026-07-22 14:10:03] PROGRESS scenario=unif_small | 800/3000 (26.7%) | q=0.0001 rep=134 | elapsed=00:01:04 | ETA=00:02:56 | rate=12.529 job/s
[2026-07-22 14:10:07] PROGRESS scenario=unif_small | 850/3000 (28.3%) | q=0.001 rep=142 | elapsed=00:01:08 | ETA=00:02:52 | rate=12.534 job/s
[2026-07-22 14:10:12] PROGRESS scenario=unif_small | 900/3000 (30.0%) | q=0.005 rep=150 | elapsed=00:01:12 | ETA=00:02:48 | rate=12.512 job/s
[2026-07-22 14:10:15] PROGRESS scenario=unif_small | 950/3000 (31.7%) | q=0.0001 rep=159 | elapsed=00:01:16 | ETA=00:02:44 | rate=12.523 job/s
[2026-07-22 14:10:19] PROGRESS scenario=unif_small | 1000/3000 (33.3%) | q=0.001 rep=167 | elapsed=00:01:20 | ETA=00:02:40 | rate=12.536 job/s
